iter	Passed	Remaining
0	60	60531
1	60	30425
2	61	20392
3	61	15370
4	62	12355
5	62	10341
6	62	8903
7	63	7826
8	63	6986
9	63	6316
10	64	5767
11	64	5311
12	64	4922
13	65	4593
14	65	4305
15	65	4052
16	66	3831
17	66	3633
18	66	3456
19	67	3296
20	67	3153
21	67	3022
22	68	2903
23	68	2793
24	69	2694
25	69	2601
26	69	2514
27	70	2432
28	70	2356
29	70	2286
30	71	2220
31	71	2158
32	71	2101
33	72	2046
34	72	1995
35	72	1946
36	73	1900
37	73	1858
38	73	1817
39	74	1777
40	74	1739
41	74	1703
42	74	1669
43	75	1636
44	75	1604
45	75	1575
46	76	1547
47	76	1519
48	76	1493
49	77	1468
50	77	1443
51	77	1421
52	78	1400
53	78	1378
54	78	1357
55	79	1336
56	79	1316
57	79	1297
58	80	1278
59	80	1260
60	80	1244
61	81	1227
62	81	1211
63	81	1195
64	82	1179
65	82	1165
66	82	1151
67	83	1137
68	83	1124
69	83	1112
70	84	1099
71	84	1087
72	84	1075
73	84	1063
74	85	1052
75	85	1041
76	85	1030
77	86	1019
78	86	1009
79	86	998
80	87	988
81	87	979
82	87	967
83	87	958
84	88	948
85	88	939
86	88	930
87	89	922
88	89	914
89	89	906
90	89	898
91	90	890
92	90	882
93	90	874
94	91	867
95	91	860
96	91	853
97	91	846
98	92	839
99	92	832
100	92	825
101	93	819
102	93	813
103	93	806
104	93	800
105	94	794
106	94	788
107	94	782
108	95	777
109	95	772
110	95	766
111	96	761
112	96	756
113	96	751
114	97	747
115	97	742
116	97	737
117	98	733
118	98	728
119	98	724
120	99	719
121	99	714
122	99	709
123	99	705
124	100	701
125	100	697
126	100	692
127	100	687
128	101	683
129	101	679
130	101	675
131	102	671
132	102	667
133	102	663
134	102	659
135	103	656
136	103	652
137	103	648
138	104	646
139	104	642
140	104	639
141	104	634
142	105	630
143	105	627
144	105	624
145	106	621
146	106	618
147	106	614
148	107	611
149	107	608
150	107	605
151	107	602
152	108	599
153	108	597
154	108	594
155	109	591
156	109	588
157	109	585
158	110	582
159	110	579
160	110	576
161	110	573
162	111	570
163	111	568
164	111	565
165	112	562
166	112	560
167	112	557
168	112	555
169	113	552
170	113	550
171	113	547
172	114	545
173	114	543
174	114	540
175	114	538
176	115	536
177	115	533
178	115	531
179	116	529
180	116	527
181	116	525
182	117	523
183	117	521
184	117	518
185	118	516
186	118	514
187	118	512
188	118	510
189	119	508
190	119	506
191	119	504
192	120	502
193	120	500
194	120	498
195	121	496
196	121	494
197	121	492
198	121	491
199	122	488
200	122	487
201	122	485
202	123	483
203	123	481
204	123	479
205	123	477
206	124	476
207	124	474
208	124	472
209	125	471
210	125	469
211	125	467
212	126	465
213	126	464
214	126	462
215	127	461
216	127	459
217	127	457
218	127	456
219	128	454
220	128	452
221	128	451
222	129	450
223	129	448
224	129	446
225	130	445
226	130	444
227	130	442
228	130	440
229	131	439
230	131	438
231	131	436
232	132	435
233	132	433
234	132	432
235	133	430
236	133	429
237	133	427
238	133	426
239	134	425
240	134	423
241	134	422
242	135	420
243	135	419
244	135	417
245	135	416
246	136	415
247	136	413
248	136	412
249	136	410
250	137	409
251	137	408
252	137	406
253	138	405
254	138	404
255	138	402
256	138	401
257	139	400
258	139	399
259	139	398
260	140	396
261	140	395
262	140	394
263	141	393
264	141	391
265	141	390
266	141	389
267	142	388
268	142	387
269	142	385
270	142	384
271	143	383
272	143	382
273	143	381
274	144	380
275	144	378
276	144	377
277	145	376
278	145	375
279	145	374
280	145	373
281	146	372
282	146	371
283	146	370
284	147	369
285	147	368
286	147	366
287	147	365
288	148	364
289	148	363
290	148	362
291	149	361
292	149	360
293	149	359
294	150	358
295	150	357
296	150	356
297	150	355
298	151	354
299	151	353
300	151	352
301	152	351
302	152	350
303	152	349
304	153	348
305	153	347
306	153	346
307	153	345
308	154	344
309	154	343
310	154	342
311	154	341
312	155	340
313	155	339
314	155	338
315	156	337
316	156	337
317	156	336
318	156	335
319	157	334
320	157	333
321	157	332
322	158	331
323	158	330
324	158	329
325	159	328
326	159	328
327	159	327
328	160	326
329	160	325
330	160	324
331	160	323
332	161	322
333	161	322
334	161	321
335	162	320
336	162	319
337	162	318
338	162	317
339	163	316
340	163	315
341	163	315
342	164	314
343	164	313
344	164	312
345	164	311
346	165	310
347	165	310
348	165	309
349	166	308
350	166	307
351	166	306
352	166	305
353	167	304
354	167	304
355	167	303
356	167	302
357	168	301
358	168	300
359	168	300
360	169	299
361	169	298
362	169	297
363	170	297
364	170	296
365	170	295
366	170	294
367	171	293
368	171	293
369	171	292
370	172	291
371	172	290
372	172	290
373	172	289
374	173	288
375	173	287
376	173	287
377	173	286
378	174	285
379	174	284
380	174	283
381	175	283
382	175	282
383	175	281
384	175	280
385	176	280
386	176	279
387	176	278
388	177	278
389	177	277
390	177	276
391	178	276
392	178	275
393	178	275
394	179	274
395	179	273
396	179	273
397	180	272
398	180	271
399	180	271
400	181	270
401	181	269
402	181	269
403	181	268
404	182	267
405	182	266
406	182	266
407	183	265
408	183	264
409	183	264
410	183	263
411	184	262
412	184	262
413	184	261
414	185	260
415	185	260
416	185	259
417	185	258
418	186	258
419	186	257
420	187	257
421	187	256
422	187	255
423	188	255
424	188	254
425	188	254
426	188	253
427	189	252
428	189	252
429	189	251
430	189	250
431	190	250
432	190	249
433	190	248
434	191	248
435	191	247
436	191	246
437	191	246
438	192	245
439	192	244
440	192	244
441	193	243
442	193	243
443	193	242
444	193	241
445	194	241
446	194	240
447	194	240
448	195	239
449	195	238
450	195	238
451	195	237
452	196	236
453	196	236
454	196	235
455	197	235
456	197	234
457	197	233
458	197	233
459	198	232
460	198	232
461	198	231
462	198	230
463	199	230
464	199	229
465	199	229
466	200	228
467	200	227
468	200	227
469	200	226
470	201	226
471	201	225
472	201	224
473	202	224
474	202	223
475	202	223
476	202	222
477	203	221
478	203	221
479	203	220
480	204	220
481	204	219
482	204	219
483	205	218
484	205	217
485	205	217
486	205	216
487	206	216
488	206	215
489	206	215
490	207	214
491	207	214
492	207	213
493	207	212
494	208	212
495	208	211
496	208	211
497	209	210
498	209	210
499	209	209
500	209	209
501	210	208
502	210	207
503	210	207
504	211	206
505	211	206
506	211	205
507	211	205
508	212	204
509	212	204
510	212	203
511	213	203
512	213	202
513	213	201
514	213	201
515	214	200
516	214	200
517	214	199
518	215	199
519	215	198
520	215	198
521	216	197
522	216	197
523	216	196
524	216	196
525	217	195
526	217	195
527	217	194
528	218	194
529	218	193
530	218	193
531	218	192
532	219	192
533	219	191
534	219	191
535	220	190
536	220	190
537	220	189
538	221	189
539	221	188
540	221	188
541	221	187
542	222	187
543	222	186
544	222	186
545	223	185
546	223	185
547	223	184
548	223	184
549	224	183
550	224	183
551	225	182
552	225	182
553	225	181
554	225	181
555	226	180
556	226	180
557	226	179
558	226	179
559	227	178
560	227	178
561	227	177
562	228	177
563	228	176
564	228	176
565	229	175
566	229	175
567	229	174
568	229	174
569	230	173
570	230	173
571	230	172
572	231	172
573	231	171
574	231	171
575	231	170
576	232	170
577	232	169
578	232	169
579	233	168
580	233	168
581	233	167
582	233	167
583	234	166
584	234	166
585	234	165
586	235	165
587	235	164
588	235	164
589	235	163
590	236	163
591	236	163
592	236	162
593	237	162
594	237	161
595	237	161
596	238	160
597	238	160
598	238	159
599	239	159
600	239	159
601	239	158
602	240	158
603	240	157
604	240	157
605	241	156
606	241	156
607	241	155
608	241	155
609	242	154
610	242	154
611	242	153
612	243	153
613	243	153
614	243	152
615	243	152
616	244	151
617	244	151
618	244	150
619	245	150
620	245	149
621	245	149
622	245	148
623	246	148
624	246	147
