iter	RMSE
0	8.207969072
1	7.95504655
2	7.690771638
3	7.450049845
4	7.20713953
5	6.971481563
6	6.746426225
7	6.513810622
8	6.305855774
9	6.096628647
10	5.89538596
11	5.697996563
12	5.525073574
13	5.343774903
14	5.172469057
15	4.999835306
16	4.852691238
17	4.709811757
18	4.555939589
19	4.415318239
20	4.274044693
21	4.14474498
22	4.015717496
23	3.890031408
24	3.773827841
25	3.658408748
26	3.549388266
27	3.437321181
28	3.333410562
29	3.229930413
30	3.131162911
31	3.02811193
32	2.935760927
33	2.8423427
34	2.752788656
35	2.672570444
36	2.594069295
37	2.51520002
38	2.440703393
39	2.371930417
40	2.301326418
41	2.233435384
42	2.166049826
43	2.099107828
44	2.037676145
45	1.974257265
46	1.915057421
47	1.855474721
48	1.800232281
49	1.749740763
50	1.697566077
51	1.646465763
52	1.59667729
53	1.553057653
54	1.507406889
55	1.463517957
56	1.424907576
57	1.385227079
58	1.349499318
59	1.312078948
60	1.273923376
61	1.239349088
62	1.204568405
63	1.170942221
64	1.139158244
65	1.1071616
66	1.078776738
67	1.048809465
68	1.019978471
69	0.9931386638
70	0.9665260305
71	0.9426664961
72	0.9187320579
73	0.895146003
74	0.8758395837
75	0.852877301
76	0.8323040231
77	0.8129688909
78	0.7941829142
79	0.7774878446
80	0.7597655285
81	0.7431668551
82	0.725707823
83	0.7092257429
84	0.693495913
85	0.6777373396
86	0.6635456818
87	0.6496555606
88	0.6357623304
89	0.6215538574
90	0.6089008759
91	0.5967072623
92	0.5847661158
93	0.5746590896
94	0.5640393901
95	0.5543185451
96	0.5431257086
97	0.533053841
98	0.5230162896
99	0.5128547253
100	0.5028898778
101	0.4938842532
102	0.4851676723
103	0.4775859041
104	0.4699666504
105	0.4621581551
106	0.454884885
107	0.4467547179
108	0.4394494298
109	0.4325769465
110	0.4261286861
111	0.419411838
112	0.4135959071
113	0.4072504716
114	0.4018328508
115	0.3964203321
116	0.3910064828
117	0.3858860699
118	0.3811402611
119	0.3772291806
120	0.3729462715
121	0.3682567149
122	0.3645180648
123	0.360993569
124	0.3566015006
125	0.3528609456
126	0.3501477487
127	0.3488572219
