iter	Passed	Remaining
0	60	60014
1	60	30198
2	60	20234
3	61	15256
4	61	12280
5	62	10309
6	62	8890
7	63	7825
8	63	6993
9	63	6320
10	64	5774
11	64	5313
12	64	4928
13	65	4600
14	65	4313
15	66	4067
16	66	3847
17	66	3650
18	67	3476
19	67	3316
20	68	3173
21	68	3044
22	68	2930
23	69	2820
24	69	2721
25	70	2628
26	70	2541
27	70	2460
28	71	2384
29	71	2314
30	71	2248
31	72	2185
32	72	2127
33	73	2074
34	73	2024
35	73	1973
36	74	1927
37	74	1883
38	74	1841
39	75	1802
40	75	1765
41	75	1730
42	76	1697
43	76	1664
44	77	1635
45	77	1608
46	77	1580
47	78	1552
48	78	1525
49	78	1500
50	79	1475
51	79	1452
52	79	1428
53	80	1406
54	80	1385
55	81	1365
56	81	1347
57	81	1327
58	82	1314
59	82	1296
60	83	1279
61	83	1262
62	83	1246
63	84	1231
64	84	1217
65	84	1202
66	85	1188
67	85	1174
68	86	1161
69	86	1147
70	86	1134
71	87	1122
72	87	1110
73	87	1099
74	88	1087
75	88	1078
76	89	1067
77	89	1055
78	89	1045
79	90	1035
80	90	1026
81	90	1016
82	91	1007
83	91	998
84	91	988
85	92	980
86	92	970
87	92	962
88	93	953
89	93	945
90	93	937
91	94	929
92	94	922
93	94	914
94	95	906
95	95	899
96	95	892
97	96	885
98	96	877
99	96	872
100	97	865
101	97	858
102	97	852
103	98	846
104	98	839
105	98	833
106	99	827
107	99	822
108	99	816
109	100	810
110	100	805
111	100	799
112	101	795
113	101	790
114	102	785
115	102	780
116	102	775
117	103	771
118	103	766
119	103	761
120	104	756
121	104	751
122	104	747
123	105	742
124	105	738
125	105	734
126	106	729
127	106	725
128	106	721
129	107	717
130	107	713
131	107	708
132	108	705
133	108	700
134	108	696
135	109	692
136	109	689
137	109	685
138	110	682
139	110	678
140	110	674
141	110	669
142	111	666
143	111	663
144	111	659
145	112	656
146	112	653
147	112	650
148	113	647
149	113	643
150	113	640
151	114	637
152	114	634
153	114	630
154	115	628
155	115	624
156	115	621
157	116	618
158	116	615
159	116	612
160	116	609
161	117	606
162	117	604
163	118	602
164	118	599
165	118	597
166	119	594
167	119	592
168	119	589
169	120	586
170	120	583
171	120	581
172	121	579
173	121	577
174	122	575
175	122	574
176	123	572
177	123	569
178	123	566
179	123	563
180	124	561
181	124	558
182	124	555
183	124	552
184	125	551
185	125	549
186	125	546
187	125	543
188	126	540
189	126	539
190	126	536
191	127	534
192	127	532
193	127	530
194	128	529
195	128	527
196	128	525
197	129	523
198	129	522
199	130	520
200	130	517
201	130	515
202	130	513
203	130	510
204	130	507
205	131	505
206	131	503
207	131	500
208	131	498
209	132	497
210	132	494
211	132	492
212	132	490
213	132	488
214	133	485
215	133	483
216	133	481
217	133	478
218	133	477
219	134	475
220	134	473
221	134	471
222	134	469
223	134	466
224	134	464
225	134	462
226	135	460
227	135	459
228	135	456
229	135	454
230	135	452
231	136	450
232	136	449
233	136	447
234	136	445
235	137	444
236	137	443
237	137	441
238	138	439
239	138	438
240	138	437
241	139	436
242	139	434
243	139	432
244	139	430
245	139	428
246	140	427
247	140	426
248	140	424
249	140	422
250	140	420
251	141	418
252	141	416
253	141	415
254	141	414
255	142	412
256	142	411
257	142	410
258	143	409
259	143	408
260	143	406
261	143	405
262	144	404
263	144	403
264	144	401
265	145	400
266	145	399
267	145	398
268	146	397
269	146	395
270	146	394
271	146	393
272	147	392
273	147	391
274	147	389
275	148	389
276	148	388
277	148	386
278	149	385
279	149	384
280	150	383
281	150	382
282	150	381
283	151	380
284	151	379
285	151	378
286	152	377
287	152	376
288	152	375
289	152	374
290	153	373
291	153	372
292	153	371
293	154	370
294	154	368
295	154	367
296	154	366
297	155	365
298	155	364
299	155	363
300	156	362
301	156	361
302	156	360
303	156	358
304	157	357
305	157	356
306	157	356
307	158	355
308	158	354
309	158	353
310	159	352
311	159	351
312	159	351
313	160	349
314	160	348
315	160	347
316	161	346
317	161	345
318	161	344
319	161	343
320	162	343
321	162	342
322	162	341
323	163	340
324	163	339
325	163	339
326	164	338
327	164	337
328	164	336
329	165	335
330	165	334
331	165	333
332	166	333
333	166	332
334	166	331
335	167	330
336	167	329
337	167	328
338	168	327
339	168	327
340	168	326
341	169	325
342	169	324
343	169	323
344	170	323
345	171	323
346	171	322
347	171	322
348	172	321
349	172	320
350	172	319
351	173	319
352	173	318
353	174	317
354	174	317
355	175	316
356	175	316
357	176	315
358	176	315
359	176	314
360	177	313
361	177	313
362	178	312
363	178	311
364	178	311
365	179	310
366	179	309
367	179	308
368	180	308
369	180	307
370	180	306
371	181	305
372	181	305
373	181	304
374	182	303
375	182	302
376	182	302
377	183	301
378	183	300
379	183	299
380	184	299
381	184	298
382	184	297
383	185	297
384	185	296
385	186	295
386	186	295
387	186	294
388	187	293
389	187	293
390	187	292
391	188	291
392	188	291
393	188	290
394	189	289
395	189	289
396	190	289
397	190	288
